run number,nominal diffusion coeff,nominal lifetime,nominal diffusion length,nominal CNR,estimated CNR,nominal sigma^2_0,estimated sigma^2_0,unweighted fit diffusion slope,unweighted fit diffusion slope stderr,unweighted fit intercept,unweighted fit intercept stderr,weighted fit diffusion slope,weighted fit diffusion slope stderr,weighted fit intercept,weighted fit intercept stderr,nominal diffusion coeff [cm^2/s],unweighted fit diffusion coeff [cm^2/s],unweighted fit diffusion stderr [cm^2/s],weighted fit diffusion coeff [cm^2/s],weighted fit diffusion stderr [cm^2/s]
587,0.010000000000000002,1,0.1,50.0,59.24996952036259,0.18033688011112042,0.17684315605531178,0.025318614227647016,0.0029266866153556175,0.0009691584224287607,0.0017360256672958104,0.024430981469923778,0.0027568845089279326,0.0012242785146362504,0.0011262432678387322,0.1,0.12659307113823506,0.014633433076778085,0.12215490734961887,0.013784422544639663
588,0.010000000000000002,1,0.1,50.0,48.39065007147745,0.18033688011112042,0.18438720762898994,0.020613383865312952,0.005539507631260525,-0.004323749420049237,0.0032858753587051786,0.018121598919598116,0.005104089076670698,-0.003548348343364905,0.0021177068971645254,0.1,0.10306691932656475,0.02769753815630262,0.09060799459799057,0.025520445383353487
589,0.010000000000000002,1,0.1,50.0,53.787597478360475,0.18033688011112042,0.1853648289622705,0.013425926275083981,0.0033443022072209613,-0.003594414490262647,0.0019837431313855128,0.009485128361170702,0.0030107879680729135,-0.0021484237203054754,0.0012285594118864936,0.1,0.0671296313754199,0.016721511036104805,0.047425641805853506,0.015053939840364567
590,0.010000000000000002,1,0.1,50.0,63.41703071927091,0.18033688011112042,0.1793909230413931,0.021183618385949527,0.004886994082154929,0.0009642634021723119,0.002898823235132339,0.019826466798295368,0.0040550356641662465,0.0014792894150722942,0.0015545115139767413,0.1,0.10591809192974763,0.024434970410774644,0.09913233399147685,0.02027517832083123
591,0.010000000000000002,1,0.1,50.0,54.140602007500846,0.18033688011112042,0.17921486302969358,0.023519187263989803,0.004415673667594609,0.0006154816757428325,0.002619249626907874,0.022861888416185597,0.003927573982483016,0.0008870492430708508,0.0016367483191111287,0.1,0.117595936319949,0.022078368337973043,0.11430944208092797,0.01963786991241508
592,0.010000000000000002,1,0.1,50.0,48.58714790823971,0.18033688011112042,0.178723872921057,0.025485324079831638,0.004348748592965275,-0.0025466939058196958,0.00257955161252785,0.0233251204473034,0.004949672437339492,-0.0017371888279537836,0.002074661505330488,0.1,0.12742662039915817,0.021743742964826375,0.11662560223651701,0.02474836218669746
593,0.010000000000000002,1,0.1,50.0,41.513612680750214,0.18033688011112042,0.1800183148175766,0.02201012891622415,0.007375651185528058,0.0012501575969242115,0.0043750224926428095,0.021926044395329965,0.006876790544219849,0.0013537523527929816,0.0029559634554419288,0.1,0.11005064458112074,0.03687825592764029,0.10963022197664982,0.034383952721099245
594,0.010000000000000002,1,0.1,50.0,54.645005354846816,0.18033688011112042,0.1799481684382805,0.018823858097599924,0.00483309215321813,-0.00036638719523930793,0.002866850173288248,0.019115389015300136,0.004607215769525106,-0.0005098172421117513,0.0018726903038667616,0.1,0.09411929048799962,0.02416546076609065,0.09557694507650068,0.02303607884762553
595,0.010000000000000002,1,0.1,50.0,55.274920745979514,0.18033688011112042,0.18348861291772423,0.02148360238626615,0.0033453424114415465,-0.0020510376910099024,0.0019843601503778062,0.02231900111518955,0.003781119497129253,-0.0022952823816770797,0.0015308409192261846,0.1,0.10741801193133073,0.016726712057207733,0.11159500557594774,0.018905597485646262
596,0.010000000000000002,1,0.1,50.0,48.98599206134769,0.18033688011112042,0.18244087513967103,0.02658749187318532,0.0036680481073028274,-0.002149069274141867,0.002175779815215979,0.027854130973315856,0.004027898982193425,-0.003092306125380275,0.001697977876226554,0.1,0.1329374593659266,0.018340240536514136,0.13927065486657927,0.020139494910967125
597,0.010000000000000002,1,0.1,50.0,48.18717449143935,0.18033688011112042,0.177802097381782,0.024658927037802418,0.0047039728902400465,0.00182396913025478,0.002790260369140381,0.02281464585596861,0.005807861280327612,0.0028360020425819074,0.0025034514217252726,0.1,0.1232946351890121,0.02351986445120023,0.11407322927984305,0.02903930640163806
598,0.010000000000000002,1,0.1,50.0,46.243336221991875,0.18033688011112042,0.17874050001867423,0.021204188627171355,0.006273459494255398,0.0034641570432822405,0.003721234329506314,0.01981864749837376,0.0070579860805963105,0.004590291800562655,0.0029832728996766304,0.1,0.10602094313585678,0.03136729747127699,0.0990932374918688,0.03528993040298155
